	SZA
0	-0.214648069859
1	-0.361015230475
2	-0.580051986234
3	-0.921259062443
4	-1.31758116348
5	-1.61585070958
6	1.55788908432
7	1.27867652671
8	0.999938416947
9	0.760421329151
10	0.588671208752
11	0.436689748619
12	0.462230857684
13	0.618719572358
14	0.803437933893
15	1.03789424466
16	1.32193035538
17	1.60715258571
18	-1.5652429393
19	-1.22735699802
20	-0.827713762059
21	-0.524778812127
22	-0.317049730042
23	-0.195828305284
24	-0.21330380096
25	-0.359038364449
26	-0.577679747002
27	-0.916435509337
28	-1.31212501324
29	-1.61403199284
30	1.55978687571
31	1.28002079561
32	1.0012036112
33	0.760105030587
34	0.587326939854
35	0.432103419437
36	0.457723603143
37	0.615635661356
38	0.800591246814
39	1.03591737863
40	1.31955811614
41	1.6050175704
42	-1.56753610389
43	-1.23170610328
44	-0.830955822343
45	-0.526518454231
46	-0.318156775017
47	-0.196460902413
48	-0.21251305455
49	-0.357694095551
50	-0.575702880975
51	-0.913035299772
52	-1.30856665439
53	-1.61245050002
54	1.56121021925
55	1.28136506451
56	1.00223158154
57	0.759077060253
58	0.585666372391
59	0.42641004528
60	0.449104467267
61	0.612788974277
62	0.797744559736
63	1.03378236332
64	1.31742310083
65	1.60288255509
66	-1.56951296992
67	-1.23684595495
68	-0.834197882627
69	-0.528732544181
70	-0.319342894633
71	-0.197172574183
72	-0.211406009575
73	-0.356270752011
74	-0.573726014949
75	-0.909635090206
76	-1.30524551947
77	-1.61063178327
78	1.56287078671
79	1.28286748269
80	1.00310140259
81	0.758049089919
82	0.583531357082
83	0.420163148636
84	0.441908674929
85	0.609467839353
86	0.794660648734
87	1.03204272122
88	1.3150508616
89	1.60051031586
90	-1.57156891059
91	-1.25068401713
92	-0.837598092193
93	-0.530393111643
94	-0.320449939608
95	-0.19772609667
96	-0.210457113882
97	-0.354926483113
98	-0.571907298204
99	-0.90623488064
100	-1.30247790703
101	-1.60912936509
102	1.56437320489
103	1.28421175159
104	1.00420844756
105	0.756704821021
106	0.581475416415
107	0.416367565864
108	0.434080285464
109	0.60630485371
110	0.79141858845
111	1.02982863127
112	1.31275769701
113	1.59813807663
114	-1.57362485125
115	-1.25337255493
116	-0.840919227117
117	-0.532528126952
118	-0.321794208506
119	-0.19843776844
120	-0.209666367471
121	-0.353344990292
122	-0.570088581459
123	-0.903230044279
124	-1.30018474244
125	-1.60754787227
126	1.56563839915
127	1.28531879656
128	1.00452474613
129	0.755360552123
130	0.579261326465
131	0.41304643094
132	0.424828552459
133	0.602983718785
134	0.788571901372
135	1.02761454132
136	1.31054360706
137	1.59592398668
138	-1.57575986656
139	-1.25574479416
140	-0.844635735248
141	-0.534267769056
142	-0.32282217884
143	-0.198991290927
144	-0.208717471778
145	-0.352079796035
146	-0.568348939356
147	-0.90030428256
148	-1.29781250321
149	-1.60596637945
150	1.56721989197
151	1.2863467669
152	1.00357585044
153	0.754095357866
154	0.577126311156
155	0.409488072092
156	0.417158312275
157	0.599425359937
158	0.785171691806
159	1.02563767529
160	1.30817136783
161	1.5934726728
162	-1.57797395651
163	-1.25827518267
164	-0.847719646249
165	-0.536007411159
166	-0.329464448689
167	-0.199702962697
168	-0.207768576086
169	-0.350814601778
170	-0.566609297252
171	-0.897457595481
172	-1.2956774879
173	-1.60454303591
174	1.56856416087
175	1.28729566259
176	1.00278510403
177	0.752276641121
178	0.574516848001
179	0.405455265397
180	0.412255684529
181	0.59594607573
182	0.781929631522
183	1.0233445107
184	1.3057991286
185	1.59125858285
186	-1.57995082254
187	-1.26096372047
188	-0.851357079738
189	-0.538063351827
190	-0.330492419023
191	-0.200335559825
192	-0.206898755034
193	-0.349391258238
194	-0.564869655149
195	-0.895243505531
196	-1.29377969651
197	-1.60327784165
198	1.5695921312
199	1.28832363292
200	1.00175713369
201	0.750299775095
202	0.571670160922
203	0.401817831908
204	0.407194907501
205	0.588592134111
206	0.778450347315
207	1.02105134611
208	1.30334781472
209	1.5890444929
210	-1.58208583785
211	-1.26365225827
212	-0.854915438586
213	-0.539882068571
214	-0.331678538639
215	-0.200968156954
216	-0.206028933982
217	-0.348205138622
218	-0.563367236969
219	-0.892554967735
220	-1.29172375585
221	-1.60177542347
222	1.57077825082
223	1.28887715541
224	1.00057101408
225	0.748322909068
226	0.569139772408
227	0.397626875931
228	0.402134130472
229	0.581712640338
230	0.774891988467
