	SZA
0	171.36597320945316
1	157.95288720217548
2	144.43540766766492
3	131.00630378691977
4	117.75107941804418
5	104.78553999738348
6	92.2101051332528
7	80.25647589123247
8	69.26691029050204
9	59.787255850679806
10	52.65134804711465
11	48.904028862625005
12	49.32734052859559
13	53.82271250527139
14	61.50031305991392
15	71.33428159901919
16	82.54954348809618
17	94.64901556746229
18	107.32035043967373
19	120.36988457880274
20	133.6690481099024
21	147.12447392889152
22	160.64524763320009
23	173.89479234673695
24	171.4611397818611
25	158.0652634668707
26	144.54610702760775
27	131.1115052329263
28	117.84843771944755
29	104.85472706481677
30	92.2685063744034
31	80.3006360484155
32	69.29194440626979
33	59.786548677843015
34	52.61749240701945
35	48.83276306972055
36	49.22298068911488
37	53.696982937844254
38	61.364696299868584
39	71.1959730390356
40	82.41214887387845
41	94.51408701813497
42	107.18850310918656
43	120.24122281793078
44	133.5433410196312
45	147.001001057594
46	160.52172828248314
47	173.75896556827223
48	171.53152040858512
49	158.15176285116468
50	144.63139173797327
51	131.1921450122918
52	117.92239858507477
53	104.91996874367669
54	92.32245776357252
55	80.33975326778355
56	69.3112542364774
57	59.77938563228159
58	52.576531260099664
59	48.75409933768646
60	49.11156788523295
61	53.565131115971575
62	61.224114842752165
63	71.05379433237387
64	82.27181403250253
65	94.37696999955207
66	107.05507946499378
67	120.1114741081154
68	133.41691846692427
69	146.87703194880618
70	160.3976024541409
71	173.62068218039164
72	171.5963248120662
73	158.23493488916455
74	144.71352184603796
75	131.2694604290092
76	117.99272609388206
77	104.98117468127083
78	92.37188571559395
79	80.37377199245785
80	69.32480463234899
81	59.76575364427855
82	52.528473440809556
83	48.668066695764715
84	48.993153225025445
85	53.42723225328167
86	61.07866332639183
87	70.90785089904853
88	82.12864876342101
89	94.23777262564298
90	106.92018279040639
91	119.98073369282936
92	133.2898637957577
93	146.75263153801637
94	160.27290177842355
95	173.4799338784973
96	171.65513415134325
97	158.31457593134712
98	144.79234561600867
99	131.34332656659225
100	118.05931488788639
101	105.03825687766559
102	92.41671959424079
103	80.40263761528982
104	69.33256102575385
105	59.74564047681308
106	52.47332892864163
107	48.57469474297752
108	48.86778789138558
109	53.283360598289384
110	60.928433502560225
111	70.75824133077634
112	81.98273699966268
113	94.09660279777515
114	106.78391519925768
115	119.84909465661987
116	133.16225708167778
117	146.62786006129582
118	160.1476508778066
119	173.336699075627
120	171.70751957672405
121	158.39047850632315
122	144.86771053714529
123	131.41361926952047
124	118.12206136487946
125	105.09112981998464
126	92.45689181135666
127	80.42630732367356
128	69.33449794558626
129	59.71904294764762
130	52.41111421726936
131	48.474019961109065
132	48.735530734676715
133	53.133599847694434
134	60.773529734225065
135	70.60508390871476
136	81.83421883863268
137	93.95356808868539
138	106.64637753050357
139	119.7166478424692
140	133.03417508886784
141	146.50277308692466
142	160.02186759499773
143	173.1909446641828
144	171.75304554826937
145	158.4624318278652
146	144.93946362656118
147	131.48021536664328
148	118.18086385096963
149	105.13971061437111
150	92.49233792266
151	80.44473033370015
152	69.33059045313054
153	59.685956482650624
154	52.34184690599404
155	48.36607952385336
156	48.596440321803975
157	52.97803228089467
158	60.61405180960814
159	70.44848471442695
160	81.68319786497233
161	93.80877562839716
162	106.5076692463559
163	119.58348177425704
164	132.90569123358333
165	146.37742155423857
166	159.89556322578972
167	173.0426276514686
168	171.7912736113181
169	158.53022234604208
170	145.00745174418964
171	131.54299289791612
172	118.23562277267305
173	105.18391911536798
174	92.52299671994437
175	80.45786940668273
176	69.32081939124012
177	59.646383449848535
178	52.26554900309034
179	48.25091383823441
180	48.450578375945646
181	52.81674295278969
182	60.45010262331678
183	70.28856087574371
184	81.52978806474698
185	93.662331992038
186	106.36788833405332
187	119.44968258434649
188	132.7768755540246
189	146.25185181939923
190	159.7687427562161
191	172.89169667580998
192	171.8217665929318
193	158.59363434222612
194	145.07152191911786
195	131.60183134375796
196	118.28624082784462
197	105.22367805251704
198	92.5488103196207
199	80.46568432024846
200	69.30516735830255
201	59.60032863328611
202	52.18224494524024
203	48.12856569969721
204	48.29800898532883
205	52.64981952287407
206	60.281786603782194
207	70.1254161988937
208	81.37409208758157
209	93.51434308981322
210	106.22713121118142
211	119.31533394610715
