Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,58945,-,-,India,25.55,84.85,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DHI Perez,DNI,DNI Perez,Fill Flag,GHI,GHI Perez,Relative Humidity,Snow Depth,Solar Zenith Angle,Pressure,Temperature,Precipitable Water,Wind Direction,Wind Speed
2013,6,12,23,30,0,0,0,26,0,0,0,0,0,0,0,83.43433863520183,0.0,131.00444782028669,991.8600463867188,29.457860679884902,4.558092116089733,94.56417083740234,3.8664543628692627
2013,6,13,0,30,0,0,0,26,0,0,0,0,0,0,0,85.97451719296392,0.0,130.329677700596,991.5057373046875,29.02268415527925,4.6874821200128265,93.21318054199219,3.7386770248413086
2013,6,13,1,30,0,0,0,26,0,0,0,0,0,0,0,88.02235123200116,0.0,125.63282102650109,991.2654418945312,28.62647857793911,4.80080816931901,91.24862670898438,3.6644110679626465
2013,6,13,2,30,0,0,0,26,0,0,0,0,0,0,0,89.56948755563172,0.0,117.8223064782246,991.0239868164062,28.332600529104127,4.9116726990701505,91.55853271484375,3.5835721492767334
2013,6,13,3,30,0,0,0,26,0,0,0,0,0,0,0,90.98223557556643,0.0,107.90896797947372,991.3733520507812,28.055230400982794,5.083820245541804,91.5562744140625,3.486830234527588
2013,6,13,4,30,0,0,0,26,0,0,0,0,0,0,0,91.59041940586935,0.0,96.64748473054648,991.9716186523438,27.931454166336323,5.257924351320902,90.70030212402344,3.421142578125
2013,6,13,5,30,28,33,32,26,18,18,0,0,0,18,18,86.90330103988545,0.0,84.52190260424528,992.9906616210938,28.726438153720835,5.423706145045844,90.7813720703125,3.379518508911133
2013,6,13,6,30,127,240,202,25,139,139,161,161,0,190,190,75.36988905148635,0.0,71.83714475064943,993.6044921875,30.581259806071444,5.57713804565724,93.17385864257812,3.7023723125457764
2013,6,13,7,30,193,407,404,24,193,186,407,412,0,404,400,65.14288977023067,0.0,58.7803146983142,993.9599609375,32.33310557628448,5.72041084061606,96.1883316040039,4.143545150756836
2013,6,13,8,30,235,515,596,24,235,215,515,542,0,596,596,58.413239263376695,0.0,45.47775455362722,994.036376953125,33.7356346248568,5.839799119269111,96.57445526123047,4.604679107666016
2013,6,13,9,30,262,583,757,24,262,244,583,612,0,757,763,53.75486069187936,0.0,32.0206304422944,993.589599609375,34.79200579088007,5.872538914435382,97.61151123046875,5.0038161277771
2013,6,13,10,30,278,623,869,23,269,269,589,589,0,828,828,52.48641272886765,0.0,18.496361410982487,992.4669799804688,35.06960718640249,5.869119793046054,98.17190551757812,5.283544540405273
2013,6,13,11,30,285,639,922,23,321,321,506,506,0,825,825,50.39569340547971,0.0,5.2515196158501425,991.880859375,35.446745761972295,5.889218259194941,98.6321792602539,5.394968509674072
2013,6,13,12,30,284,636,912,23,284,269,636,638,0,912,899,48.83746114747216,0.0,9.24765622022258,990.7498779296875,35.44667815939505,5.949040623335332,99.50651550292969,5.520569801330566
2013,6,13,13,30,274,612,839,22,365,365,337,337,0,676,676,49.39866609310659,0.0,22.698584981812402,990.1705322265625,34.97547956075846,6.003772783933932,100.5472640991211,5.576006889343262
2013,6,13,14,30,254,565,711,22,257,257,548,548,0,700,700,51.644193681759695,0.0,36.21256881398726,989.4435424804688,34.23122275179571,6.0539035767551255,102.4134521484375,5.5025835037231445
2013,6,13,15,30,223,486,538,23,275,275,338,338,0,494,494,55.477767474882135,0.0,49.62867079880698,989.0438842773438,33.237342994703965,6.126108674763015,103.77680206298828,5.341080188751221
2013,6,13,16,30,175,361,340,23,203,203,103,103,0,250,250,59.437896444411706,0.0,62.86341622599546,989.0271606445312,32.325306373561716,6.206971604327131,105.05191040039062,5.15645694732666
2013,6,13,17,30,100,174,143,23,103,103,38,38,0,113,113,63.672692533691745,0.0,75.8173681728814,989.5743408203125,31.508922144824226,6.286663845168276,105.50337982177734,4.8843159675598145
2013,6,13,18,30,4,2,4,24,1,1,0,0,0,1,1,67.95344068449126,0.0,88.34654187729014,990.2799072265625,30.80932454811432,6.354338418389683,104.74988555908203,4.6160969734191895
2013,6,13,19,30,0,0,0,24,0,0,0,0,0,0,0,70.64725319127587,0.0,100.23911206934102,990.9908447265625,30.38358014825286,6.391769596868513,103.67404174804688,4.585551738739014
2013,6,13,20,30,0,0,0,24,0,0,0,0,0,0,0,73.41732406692502,0.0,111.13757680929639,991.8260498046875,29.91282753734191,6.41569473148531,102.64623260498047,4.5445637702941895
2013,6,13,21,30,0,0,0,24,0,0,0,0,0,0,0,76.02206032266007,0.0,120.48370892419567,992.0891723632812,29.491920499474702,6.438991812984593,101.8062744140625,4.422255992889404
2013,6,13,22,30,0,0,0,24,0,0,0,0,0,0,0,78.74621869653596,0.0,127.43187811899176,991.7255859375,29.02790910704931,6.4312694574795675,100.74407196044922,4.237972736358643
2013,6,13,23,30,0,0,0,25,0,0,0,0,0,0,0,80.96288176068697,0.0,130.94496494069924,991.154052734375,28.65869261801714,6.40780864962953,99.02498626708984,4.060470104217529
2013,6,14,0,30,0,0,0,25,0,0,0,0,0,0,0,83.10092343028539,0.0,130.28612599598765,990.6578979492188,28.293497143560387,6.380172260416661,97.15821075439453,3.938589096069336
2013,6,14,1,30,0,0,0,25,0,0,0,0,0,0,0,84.76716387774934,0.0,125.60733574198952,990.4928588867188,27.98676910528286,6.3517632041055245,95.93221282958984,3.8668506145477295
2013,6,14,2,30,0,0,0,25,0,0,0,0,0,0,0,86.12409433476428,0.0,117.81294156089189,990.1412963867188,27.742869558679274,6.320969866207144,94.36929321289062,3.9161815643310547
2013,6,14,3,30,0,0,0,25,0,0,0,0,0,0,0,87.12361961799648,0.0,107.91237158820942,990.3558349609375,27.555437899572496,6.295526336937492,92.55704498291016,4.048297882080078
2013,6,14,4,30,0,0,0,25,0,0,0,0,0,0,0,87.51343546419025,0.0,96.66063193429811,991.0943603515625,27.4435005002382,6.284654956561326,90.7542953491211,4.223628044128418
2013,6,14,5,30,28,32,31,24,23,23,0,0,0,23,23,81.28888768443082,0.0,84.54250023292249,991.6209106445312,28.496513776949826,6.276947332701681,89.82259368896484,4.421494483947754
2013,6,14,6,30,127,238,201,24,129,129,94,94,0,159,159,68.99123680060303,0.0,71.86353657368949,992.2698364257812,30.642646760589457,6.2636424460913425,91.7484130859375,5.26577615737915
2013,6,14,7,30,192,405,402,23,204,204,376,376,0,399,399,62.59406249865501,0.0,58.81125880078067,992.3848266601562,32.012026752493284,6.2301424097218385,93.25341033935547,5.911959171295166
2013,6,14,8,30,234,514,594,23,272,272,414,414,0,563,563,59.32550977995214,0.0,45.512230025192224,992.5497436523438,32.923672512871974,6.210529400401247,94.20074462890625,6.183605670928955
2013,6,14,9,30,261,582,755,24,367,367,283,283,0,607,607,57.654894919185985,0.0,32.05753963784191,992.2012329101562,33.513473942590224,6.216846301209786,94.8197021484375,6.2196736335754395
2013,6,14,10,30,278,621,866,24,274,274,591,591,0,835,835,56.04333411342336,0.0,18.533528013885658,991.5902709960938,34.01299609795706,6.305155934803114,95.1952896118164,6.291408061981201
2013,6,14,11,30,284,637,920,23,300,300,580,580,0,878,878,56.26930662735569,0.0,5.271171149956984,990.9373168945312,33.8771177588834,6.444431226698282,95.11315155029297,6.405128002166748
2013,6,14,12,30,283,634,909,24,402,402,360,360,0,758,758,58.303052691581534,0.0,9.186980623356092,990.1594848632812,33.36846550081907,6.6064742757438255,94.1308364868164,6.374479293823242
2013,6,14,13,30,273,610,837,24,370,370,323,323,0,669,669,61.49908218318705,0.0,22.641623198024163,989.519287109375,32.586994408631085,6.7312603622508504,91.51005554199219,6.301033020019531
2013,6,14,14,30,254,563,709,24,254,245,563,581,0,709,715,64.4547579078444,0.0,36.15489479655516,988.7586669921875,31.806000521415854,6.821970560811758,90.98932647705078,6.346301078796387
2013,6,14,15,30,223,484,537,24,223,231,484,472,0,537,538,66.82914193008264,0.0,49.56937023992206,988.7062377929688,31.275419601680596,6.918489315507135,92.27482604980469,6.420176982879639
2013,6,14,16,30,175,360,340,24,193,193,75,75,0,228,228,69.08713194345944,0.0,62.80214972513418,988.9783325195312,30.827723489603386,6.97627147225327,93.54572296142578,6.3485822677612305
2013,6,14,17,30,100,174,143,24,71,71,0,0,0,71,71,72.76879890098613,0.0,75.7539865663091,989.6965942382812,30.153734006889408,7.012184397313821,95.18414306640625,6.246205806732178
2013,6,14,18,30,4,2,4,24,1,1,0,0,0,1,1,76.27143144486955,0.0,88.28106969748569,990.4383544921875,29.51057813695695,7.043925610672315,95.93872833251953,6.156103610992432
2013,6,14,19,30,0,0,0,25,0,0,0,0,0,0,0,79.85705193467567,0.0,100.17172039742954,991.2672729492188,28.990288086960675,7.062619994618707,95.66232299804688,6.079832077026367
2013,6,14,20,30,0,0,0,25,0,0,0,0,0,0,0,83.30518957208005,0.0,111.06905423902134,992.1505126953125,28.50509325180809,7.112299106777918,94.63668060302734,5.925450325012207
2013,6,14,21,30,0,0,0,25,0,0,0,0,0,0,0,86.51133924004745,0.0,120.41591787914373,992.1463623046875,28.028250942324462,7.1341452891413075,93.58521270751953,5.789178848266602
2013,6,14,22,30,0,0,0,25,0,0,0,0,0,0,0,89.15182974272182,0.0,127.36863441450782,992.0880737304688,27.603668260836514,7.135636668463654,93.48921966552734,5.65973424911499
2013,6,14,23,30,0,0,0,25,0,0,0,0,0,0,0,90.62272039893978,0.0,130.8921742257108,991.5616455078125,27.299274169970374,7.101703349376407,93.87019348144531,5.534627437591553
2013,6,15,0,30,0,0,0,25,0,0,0,0,0,0,0,91.47596199613697,0.0,130.24930064083844,991.0822143554688,27.03716599719172,7.041127643631289,94.28887939453125,5.4359822273254395
2013,6,15,1,30,0,0,0,25,0,0,0,0,0,0,0,91.31397238837086,0.0,125.58805792653705,990.7233276367188,26.885563959804017,6.945540716295122,94.68824005126953,5.386832237243652
2013,6,15,2,30,0,0,0,25,0,0,0,0,0,0,0,91.23879842151312,0.0,117.80901590360965,991.0260009765625,26.753391251716437,6.815632167280184,95.64967346191406,5.301405906677246
