	Clearsky DNI	Relative	Temperature
60253	-0.837885660146	0.222116291362	-1.3816576843
60254	-0.837885660146	0.25745496562	-1.42354234437
60255	-0.837885660146	0.306105068746	-1.46408606429
60256	-0.837885660146	0.368383539524	-1.4995026601
60257	-0.837885660146	0.443260326909	-1.53334167926
60258	-0.787191368355	0.484620838036	-1.4735515242
60259	-0.455728691259	0.190263943713	-1.30191118461
60260	0.238393150188	0.0281497564223	-1.09351330905
60261	0.675143971773	-0.367072905457	-0.767743730692
60262	0.920816308915	-0.603984645437	-0.446785761115
60263	1.00270708796	-0.681159238995	-0.18569682543
60264	0.948113235264	-0.699937861863	-0.0656432423145
60265	0.733637385378	-0.67125490204	-0.123145911231
60266	0.331982611956	-0.571260716135	-0.326889935664
60267	-0.303645815886	-0.377769589369	-0.569205709206
60268	0.250091832909	-0.104409889393	-0.834396344182
60269	-0.837885660146	-0.0224019793995	-0.950190470341
60270	-0.837885660146	0.0203055215534	-1.02402105759
60271	-0.837885660146	0.0747397574618	-1.08775515428
60272	-0.837885660146	0.163165677802	-1.1447845502
60273	-0.837885660146	0.234952312057	-1.2007885213
60274	-0.837885660146	0.314662415876	-1.25221752011
60275	-0.837885660146	0.399760478999	-1.30388315542
60276	-0.837885660146	0.466317623341	-1.34963287829
60277	-0.837885660146	0.521861144989	-1.39285847852
60278	-0.837885660146	0.580890993245	-1.43135134879
60279	-0.837885660146	0.664087423672	-1.46755673293
60280	-0.837885660146	0.724464261754	-1.49855611411
60281	-0.837885660146	0.808849212617	-1.5293188588
60282	-0.830086538332	0.754573446099	-1.46463821612
60283	-0.463527813073	0.434306806301	-1.28384793196
60284	0.226694467467	0.19303715806	-1.06630011183
60285	0.667344849959	-0.327059384156	-0.701643269029
60286	0.909117626194	-0.578312604048	-0.313322776468
60287	0.994907966148	-0.670621024475	-0.0196568829477
60288	0.932514991636	-0.706038933428	0.0910889979288
60289	0.71803914175	-0.681951585952	0.017731683673
60290	0.320283929235	-0.58845464509	-0.210070384683
60291	-0.319244059514	-0.41287055954	-0.60951279263
60292	0.164301492955	0.209834913537	-0.847647988048
60293	-0.837885660146	-0.0483117248755	-0.91185535773
60294	-0.837885660146	0.0184831235535	-0.979612274876
60295	-0.837885660146	0.0471660833772	-1.03687830729
60296	-0.837885660146	0.175050882149	-1.07986727103
60297	-0.837885660146	0.245252822491	-1.11891229313
60298	-0.837885660146	0.311968436224	-1.16087583204
60299	-0.837885660146	0.379317927523	-1.2070988279
60300	-0.837885660146	0.444607316735	-1.24701151716
60301	-0.837885660146	0.508787420207	-1.29023711739
60302	-0.837885660146	0.594123187417	-1.32399725772
60303	-0.837885660146	0.734210129319	-1.345057906
60304	-0.837885660146	0.848704264526	-1.35144709144
60305	-0.837885660146	0.926354266259	-1.36256900682
60306	2.16477623825	1.1038399845	-1.2832169013
60307	-0.494724300329	0.524555124641	-1.12940317786
60308	0.187698858397	0.167365116671	-0.925580274591
60309	0.620550119075	-0.15504085991	-0.547987303254
60310	0.850624212589	-0.500107959446	-0.0292801005167
60311	0.936414552543	-0.538774490921	0.193394843724
60312	0.870122017124	-0.534020409182	0.252553968124
60313	0.659545728145	-0.495274643011	0.181641897677
60314	0.265690076537	-0.409701171714	-0.0455291400185
60315	-0.362139229491	-0.166609125474	-0.377845661481
60316	0.0356159830238	0.0871796046781	-0.696279508417
60317	-0.837885660146	0.190184709017	-0.815780939704
60318	-0.837885660146	0.235348485535	-0.878647369233
60319	-0.837885660146	0.26910246588	-0.934020309672
60320	-0.837885660146	0.312919252572	-0.985291550818
60321	-0.837885660146	0.350159559525	-1.03088351602
60322	-0.837885660146	0.394134815608	-1.07371472209
60323	-0.837885660146	0.432801347083	-1.11346965368
60324	-0.837885660146	0.478282062384	-1.15409225244
60325	-0.837885660146	0.542462165857	-1.19361054754
60326	-0.837885660146	0.600858136547	-1.2303680835
60327	-0.837885660146	0.694909720278	-1.27146395525
60328	-0.837885660146	0.774619824098	-1.30743270288
60329	-0.837885660146	0.883488295915	-1.3385109629
60330	2.11798150737	0.871682326263	-1.27335704723
60331	-0.50642298305	0.537391145335	-1.11481059384
60332	0.18379929749	0.280591496749	-0.908542446763
60333	0.624449679982	-0.193390452602	-0.537338660863
60334	0.866222456217	-0.44725841745	-0.189561888224
60335	0.955912357078	-0.499315612489	-0.0107435748714
60336	0.893519382566	-0.518569643531	0.0335074501796
60337	0.694641776308	-0.504782806489	-0.0641445444964
60338	0.3007861247	-0.441157345886	-0.298256919455
60339	-0.334842303142	-0.226352085991	-0.553824336862
60340	0.121406322978	0.053901032507	-0.817043001025
60341	-0.837885660146	0.144941697804	-0.926763457078
60342	-0.837885660146	0.174100065801	-0.987736794627
60343	-0.837885660146	0.203654607277	-1.03995458176
60344	-0.837885660146	0.231703689535	-1.08278578783
60345	-0.837885660146	0.264110680054	-1.12214632526
60346	-0.837885660146	0.29857777266	-1.15898274006
60347	-0.837885660146	0.341919151178	-1.19392606287
60348	-0.837885660146	0.394293285	-1.22303235207
60349	-0.837885660146	0.461008898733	-1.25245415661
60350	-0.837885660146	0.528516859423	-1.28132380931
60351	-0.837885660146	0.598401860982	-1.31121888684
60352	-0.837885660146	0.714322220712	-1.33740665925
60353	-0.837885660146	0.82952946818	-1.3547600024
60354	1.76312146483	0.924214929476	-1.2922090882
60355	-0.514222104864	0.414339662998	-1.14659876335
60356	0.176000175676	0.143594707978	-0.948691772523
60357	0.616650558168	-0.187210146342	-0.598075361913
60358	0.850624212589	-0.545430205355	-0.180964095478
60359	0.936414552543	-0.58045194083	0.0622982240542
60360	0.874021578031	-0.560722501614	0.129818504703
60361	0.663445289052	-0.513023214836	0.0637969218723
60362	0.265690076537	-0.415802243279	-0.16731805745
60363	-0.362139229491	-0.133885196173	-0.482833387582
60364	0.0356159830238	0.183845933366	-0.766166154041
60365	-0.837885660146	0.23653700597	-0.875807731262
60366	-0.837885660146	0.249214557273	-0.934414703834
60367	-0.837885660146	0.261733639185	-0.986711369804
60368	-0.837885660146	0.274965833358	-1.03127791018
60369	-0.837885660146	0.296438435878	-1.07126947828
60370	-0.837885660146	0.322823589528	-1.114731715
60371	-0.837885660146	0.355943692307	-1.15914049772
60372	-0.837885660146	0.396115683	-1.20433806876
60373	-0.837885660146	0.4397740003	-1.24716927483
60374	-0.837885660146	0.502131705773	-1.29512760501
